timestamp,experiment_name,owner,dataset,split,model,checkpoint,seed,train_size,eval_size,batch_size,gradient_accumulation_steps,epochs,pooling_strategy,loss_profile,gpu,cuda,torch,DCF,DCF-positive,DCF-negative,pos_neg_degree,pos_neutral_degree,neg_neutral_degree,output_dir,notes
2026-05-26T16:58:36,E5_small_sample_train_causal_500,C,causal_reasoning,dev,google-bert/bert-base-uncased,D:\nlp\conditional-dichotomy-quantification\results\c_task\e5_small_train\causal_reasoning_original_doge_cls_seed42\checkpoint,42,500,500,8,4,1.0,cls,original_doge,NVIDIA GeForce RTX 5070 Ti,12.8,2.10.0+cu128,0.33,0.582,0.472,1.3568401300290134e-06,1.2670755040744552e-06,1.5066862033563666e-06,D:\nlp\conditional-dichotomy-quantification\results\c_task\e5_small_train\causal_reasoning_original_doge_cls_seed42,Small-sample DoGE training run.
2026-05-26T17:11:11,E6_ablation,C,causal_reasoning,dev,google-bert/bert-base-uncased,D:\nlp\conditional-dichotomy-quantification\results\c_task\e6_ablation\causal_reasoning_no_dichotomy_contrastive_cls_seed42\checkpoint,42,500,500,8,4,1.0,cls,no_dichotomy_contrastive,NVIDIA GeForce RTX 5070 Ti,12.8,2.10.0+cu128,0.222,0.514,0.35,0.0003934527630917728,0.00037767397589050233,0.0004970745067112148,D:\nlp\conditional-dichotomy-quantification\results\c_task\e6_ablation\causal_reasoning_no_dichotomy_contrastive_cls_seed42,Small-sample DoGE training run.
2026-05-26T17:11:28,E6_ablation,C,causal_reasoning,dev,google-bert/bert-base-uncased,D:\nlp\conditional-dichotomy-quantification\results\c_task\e6_ablation\causal_reasoning_with_dichotomy_loss_cls_seed42\checkpoint,42,500,500,8,4,1.0,cls,with_dichotomy_loss,NVIDIA GeForce RTX 5070 Ti,12.8,2.10.0+cu128,0.19,0.486,0.322,0.0003796397359110415,0.0004066876135766506,0.0005293078138493001,D:\nlp\conditional-dichotomy-quantification\results\c_task\e6_ablation\causal_reasoning_with_dichotomy_loss_cls_seed42,Small-sample DoGE training run.
2026-05-26T18:34:27,E4_local_doge_eval_causal_dev,C,causal_reasoning,dev,results\c_task\e5_small_train\causal_reasoning_original_doge_cls_seed42\checkpoint,results\c_task\e5_small_train\causal_reasoning_original_doge_cls_seed42\checkpoint,42,,17944,128,,,cls,local_checkpoint,NVIDIA GeForce RTX 5070 Ti,12.8,2.10.0+cu128,0.3114690147124387,0.5545028979045921,0.4807177886758805,1.2659875210374594e-06,1.4005663615535013e-06,1.596812580828555e-06,D:\nlp\conditional-dichotomy-quantification\results\c_task\e4_official_eval\causal_reasoning\dev,Local DoGE checkpoint evaluation because official checkpoint download returned HTTP 429.
2026-05-26T19:30:31,E4_official_doge_eval_causal_dev,C,causal_reasoning,dev,hf_cache\official\opposite-score-causal-reasoning-bert,hf_cache\official\opposite-score-causal-reasoning-bert,42,,17944,128,,,cls,official_local_checkpoint,NVIDIA GeForce RTX 5070 Ti,12.8,2.10.0+cu128,0.6977262594739189,0.8719906375390103,0.7771399910833705,0.23955675959587097,0.09077659994363785,0.15616102516651154,D:\nlp\conditional-dichotomy-quantification\results\c_task\e4_official_eval\causal_reasoning\dev,Official checkpoint predownloaded to local path and evaluated successfully.
2026-05-26T20:22:50,E5_small_sample_train_causal_1000,C,causal_reasoning,dev,google-bert/bert-base-uncased,D:\nlp\conditional-dichotomy-quantification\results\c_task\e5_small_train\causal_reasoning_original_doge_cls_seed42\checkpoint,42,1000,1000,8,4,1.0,cls,original_doge,NVIDIA GeForce RTX 5070 Ti,12.8,2.10.0+cu128,0.293,0.539,0.443,5.460381657940161e-07,6.040930884410045e-07,7.272362836374668e-07,D:\nlp\conditional-dichotomy-quantification\results\c_task\e5_small_train\causal_reasoning_original_doge_cls_seed42,Small-sample DoGE training run.
2026-05-26T20:23:13,E6_pooling_ablation_avg,C,causal_reasoning,dev,google-bert/bert-base-uncased,results\c_task\e6_ablation\causal_reasoning_original_doge_avg_seed42\checkpoint,42,500,500,8,4,1.0,avg,original_doge,NVIDIA GeForce RTX 5070 Ti,12.8,2.10.0+cu128,0.256,0.564,0.416,1.2276411325728986e-05,1.1220574378967285e-05,1.3481855603458825e-05,results\c_task\e6_ablation\causal_reasoning_original_doge_avg_seed42,Small-sample DoGE training run.
2026-05-26T20:24:18,E5_small_sample_train_causal_500_fixed,C,causal_reasoning,dev,google-bert/bert-base-uncased,D:\nlp\conditional-dichotomy-quantification\results\c_task\e5_small_train\causal_reasoning_original_doge_cls_train500_eval500_seed42\checkpoint,42,500,500,8,4,1.0,cls,original_doge,NVIDIA GeForce RTX 5070 Ti,12.8,2.10.0+cu128,0.33,0.582,0.472,1.3568401300290134e-06,1.2670755040744552e-06,1.5066862033563666e-06,D:\nlp\conditional-dichotomy-quantification\results\c_task\e5_small_train\causal_reasoning_original_doge_cls_train500_eval500_seed42,Small-sample DoGE training run.
2026-05-26T20:24:47,E5_small_sample_train_causal_1000_fixed,C,causal_reasoning,dev,google-bert/bert-base-uncased,D:\nlp\conditional-dichotomy-quantification\results\c_task\e5_small_train\causal_reasoning_original_doge_cls_train1000_eval1000_seed42\checkpoint,42,1000,1000,8,4,1.0,cls,original_doge,NVIDIA GeForce RTX 5070 Ti,12.8,2.10.0+cu128,0.293,0.539,0.443,5.460381657940161e-07,6.040930884410045e-07,7.272362836374668e-07,D:\nlp\conditional-dichotomy-quantification\results\c_task\e5_small_train\causal_reasoning_original_doge_cls_train1000_eval1000_seed42,Small-sample DoGE training run.
2026-05-26T20:28:14,E6_pooling_ablation_avg_fixed,C,causal_reasoning,dev,google-bert/bert-base-uncased,results\c_task\e6_ablation\causal_reasoning_original_doge_avg_train500_eval500_seed42\checkpoint,42,500,500,8,4,1.0,avg,original_doge,NVIDIA GeForce RTX 5070 Ti,12.8,2.10.0+cu128,0.256,0.564,0.416,1.2276411325728986e-05,1.1220574378967285e-05,1.3481855603458825e-05,results\c_task\e6_ablation\causal_reasoning_original_doge_avg_train500_eval500_seed42,Small-sample DoGE training run.
2026-05-26T20:32:16,E4_local_doge_eval_causal_dev_fixed,C,causal_reasoning,dev,results\c_task\e5_small_train\causal_reasoning_original_doge_cls_train500_eval500_seed42\checkpoint,results\c_task\e5_small_train\causal_reasoning_original_doge_cls_train500_eval500_seed42\checkpoint,42,,17944,128,,,cls,local_checkpoint,NVIDIA GeForce RTX 5070 Ti,12.8,2.10.0+cu128,0.3114690147124387,0.5545028979045921,0.4807177886758805,1.2659875210374594e-06,1.4005663615535013e-06,1.596812580828555e-06,results\c_task\e4_local_eval\causal_reasoning\dev,local_checkpoint evaluation.
